Song-Name,Songs,Movies,Type
55,Main Tera Boyfriend,Raabta,Romantic
56,Laila Main Laila,Raees,Party
57,Ghoomar,Padmaavat,Party
58,Rafta Rafta Medley,Yamla Pagla Deewana Phir Se,Party
59,Pal,Jalebi,Romantic
60,Patola,Black Mail,Marriage
61,Pallo Latke,Shaadi Mein Zaroor Aana,Marriage
62,Main Badhiya Tu Bhi Badhiya,Sanju,Travel
63,Billionaire,Baazaar,Travel
64,This Party Is Over Now,Mitron,Party
65,Heer Badnaam,Zero,Party
66,Tera Hua,Loveratri,Romantic
67,Jaan Nisaar,Kedarnath,Romantic
68,Akh Lad Jaaye,Loveratri,Party
69,Rangtaari,Loveratri,Party
70,The Humma Song,Ok Jaanu,Party
71,Pehli Baar,Dhadak,Romantic
72,Tera Yaar Hoon Main,Sonu Ke Titu Ki Sweety,Travel
